iter	Passed	Remaining
282	36958	93635
283	37172	93716
284	37332	93659
285	37523	93677
286	37697	93653
287	37898	93692
288	38048	93607
289	38144	93387
290	38240	93169
291	38328	92932
292	38425	92720
293	38511	92479
294	38605	92260
295	38700	92045
296	38851	91960
297	38966	91794
298	39080	91624
299	39206	91480
300	39320	91312
301	39428	91130
302	39529	90930
303	39676	90838
304	40160	91514
305	40537	91938
306	40797	92092
307	41147	92449
308	41342	92453
309	41480	92326
310	41600	92162
311	41744	92053
312	41885	91933
313	42045	91857
314	42185	91737
315	42327	91619
316	42474	91515
317	42859	91917
318	43177	92175
319	43366	92154
320	43499	92012
321	43713	92042
322	43823	91853
323	43953	91706
324	44063	91516
325	44174	91330
326	44274	91122
327	44376	90917
328	44469	90696
329	44569	90490
330	45118	91191
331	45344	91235
332	45452	91041
333	45732	91192
334	45941	91198
335	46121	91144
336	46227	90945
337	46331	90743
338	46617	90896
339	46794	90836
340	46912	90660
341	47048	90519
342	47150	90313
343	47263	90130
344	47437	90061
345	47534	89848
346	47630	89633
347	47718	89403
348	47854	89265
349	47998	89140
350	48155	89038
351	48289	88895
352	48396	88704
353	48576	88645
354	48723	88525
355	48882	88427
356	49015	88282
357	49283	88379
358	49424	88247
359	49680	88321
360	49894	88317
361	50523	89044
362	51121	89708
363	51426	89855
364	51575	89726
365	51710	89575
366	51878	89479
367	52407	90003
368	52555	89871
369	52690	89715
370	52890	89671
371	53026	89517
372	53188	89407
373	53325	89256
374	53410	89016
375	53550	88871
376	53651	88660
377	53744	88436
378	53841	88220
379	53948	88021
380	54052	87817
381	54160	87620
382	54280	87443
383	54467	87374
384	54605	87227
385	54721	87043
386	54852	86885
387	54968	86702
388	55288	86841
389	55543	86875
390	55725	86794
391	55942	86767
392	56170	86756
393	56490	86886
394	56769	86950
395	57040	87001
396	57154	86811
397	57271	86626
